release_date,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,mils_of_streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2014-01-01,Shake It Off,Taylor Swift,1,21335,13,1113.8389,328,70,,9,20.0,160,G,Major,65,95,80,5,0,41,16
2013-01-01,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,23389,29,1267.3334,54,70,,2,1.0,92,D,Major,70,81,63,4,0,8,4
2022-03-19,SNAP,Rosa Linn,1,3202,18,726.3075,148,80,226.0,24,0.0,170,,Major,56,53,64,11,0,45,6
2017-01-06,Shape of You,Ed Sheeran,1,32181,10,3562.5439,33,0,,7,0.0,96,C#,Minor,83,93,65,58,0,9,8
2014-11-17,Night Changes,One Direction,1,7124,18,1131.0909,60,20,2.0,0,,120,G#,Major,67,40,52,86,0,12,4
2023-01-13,Fin de Semana,"Oscar Maydon, Junior H",2,592,14,307.3701,11,84,6.0,1,30.0,98,,Major,70,37,54,6,0,9,8
1992-09-21,Creep,Radiohead,1,36724,7,1271.2932,146,72,,5,80.0,92,G,Major,53,12,34,1,0,12,4
2019-10-18,Car's Outside,James Arthur,1,794,10,265.8827,38,25,61.0,0,263.0,150,A,Major,34,24,56,4,0,11,3
2017-03-21,Apocalypse,Cigarettes After Sex,1,13091,17,841.7495,61,96,790.0,2,116.0,94,F,Major,37,17,47,2,46,11,3
2023-05-19,Cheques,Shubh,1,67,8,47.9564,7,10,0.0,0,57.0,90,E,Minor,74,36,63,26,0,27,5
2016-08-20,Pink + White,Frank Ocean,1,21574,30,806.3971,112,68,266.0,1,39.0,160,A,Major,54,54,55,67,0,42,11
2019-08-30,Circles,Post Malone,1,19664,16,2132.3358,391,73,633.0,3,37.0,120,,Major,70,59,75,24,0,9,4
2010-01-01,Just The Way You Are,Bruno Mars,1,21106,13,1641.4267,82,0,,0,0.0,109,F,Major,63,46,85,1,0,9,5
2013-09-13,Take Me To Church,Hozier,1,23804,31,2135.1584,187,99,,1,0.0,129,E,Minor,57,41,66,63,0,12,5
2022-12-16,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,849,22,367.3163,27,129,21.0,7,111.0,157,G,Major,54,75,60,30,0,7,5
2021-04-09,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2619,12,350.3815,47,90,1.0,0,7.0,130,F#,Major,63,49,73,5,0,9,3
2022-05-06,Titi Me Preguntï¿,Bad Bunny,1,9037,42,1264.3108,124,133,139.0,14,166.0,107,F,Minor,65,19,72,10,0,13,25
2023-07-07,Better Than Revenge (Taylor's Version),Taylor Swift,1,86,11,30.3432,3,33,3.0,0,1.0,146,B,Minor,50,67,89,0,0,19,8
2020-02-10,Shut up My Moms Calling,Hotel Ugly,1,1788,14,405.1368,1,50,19.0,0,19.0,139,A,Minor,48,37,41,32,0,10,10
1968-07-01,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,15890,14,1145.7276,71,37,653.0,0,167.0,116,,Major,74,76,70,7,0,13,3
2010-07-20,Es un Secreto,Plan B,1,492,36,540.6543,4,3,19.0,0,0.0,95,F#,Minor,84,52,77,12,0,7,4
2023-06-08,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,773,33,57.3127,20,46,21.0,8,99.0,170,G#,Minor,62,55,80,15,0,37,7
2022-12-19,Ditto,NewJeans,1,1154,22,397.5821,28,125,11.0,1,51.0,134,F#,Minor,81,18,64,3,0,10,11
1984-10-19,Take On Me,a-ha,1,44927,17,1479.1151,34,0,,6,0.0,84,F#,Minor,57,86,90,2,0,9,5
2023-06-02,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,551,4,86.7736,13,46,20.0,1,10.0,146,B,Minor,61,20,48,21,0,12,6
2023-05-01,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,577,14,133.7537,22,18,15.0,1,0.0,74,A#,Minor,53,24,67,11,0,10,28
2023-05-11,Acrï¿½ï¿½s,Shakira,1,955,29,123.1241,37,50,79.0,11,31.0,144,B,Major,75,35,48,84,0,10,12
2022-11-24,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,995,19,463.565,12,117,9.0,5,3.0,136,B,Minor,77,79,73,15,0,27,10
2023-05-15,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,178,6,64.533,6,71,1.0,0,31.0,100,E,Major,56,53,55,53,0,12,4
2023-06-02,S-Class,Stray Kids,1,290,19,65.496,9,101,5.0,0,73.0,105,F,Minor,89,67,78,9,0,7,33
2023-05-26,Hits Different,Taylor Swift,1,547,0,68.617,15,15,6.0,0,0.0,106,F,Major,67,24,78,15,0,30,4
2023-03-30,Chanel,"Becky G, Peso Pluma",2,681,10,161.461,15,92,21.0,2,26.0,132,D,Major,85,53,68,40,0,9,4
2023-06-02,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,332,5,70.107,18,41,5.0,0,19.0,120,A,Major,78,5,30,21,0,13,5
2023-03-17,Area Codes,"Kaliii, Kaliii",2,1197,13,113.5095,44,34,25.0,1,171.0,155,C#,Major,82,51,39,2,0,9,49
2023-05-13,Abcdario,"Junior H, Eden Muï¿½ï",2,262,5,89.9331,8,60,4.0,1,109.0,129,G#,Major,70,42,43,78,0,11,3
2022-09-29,Obsessed,"Abhijay Sharma, Riar Saab",2,161,6,71.0071,10,79,2.0,0,42.0,135,F,Minor,80,85,74,62,0,8,9
2023-06-02,Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,185,3,43.5226,5,6,4.0,1,33.0,98,A#,Minor,73,45,62,28,0,13,13
2023-03-31,FLOWER,JISOO,1,839,18,232.8969,20,110,20.0,0,69.0,124,A,Minor,84,64,39,3,0,11,4
2023-06-02,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,259,0,37.1267,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15
2023-03-23,Eyes Closed,Ed Sheeran,1,2915,30,195.5766,116,69,107.0,3,675.0,107,D,Major,78,39,53,30,0,11,6
2022-10-12,Escapism.,"RAYE, 070 Shake",2,5129,25,532.3364,116,84,114.0,18,348.0,96,D,Major,54,25,74,14,0,9,11
2022-11-30,La Jumpa,"Arcangel, Bad Bunny",2,3794,34,538.1152,47,77,53.0,10,8.0,123,G#,Major,71,58,70,30,0,32,19
2023-05-26,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,588,0,46.1428,23,21,31.0,0,0.0,90,G#,Major,62,7,62,6,0,58,6
2022-12-02,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2959,16,401.0363,41,69,38.0,0,36.0,117,F,Minor,72,45,59,14,0,20,21
2023-04-04,Las Morras,"BLESSD, Peso Pluma",2,291,8,127.0266,8,78,4.0,1,1.0,133,A,Minor,78,90,84,31,0,7,4
2022-12-02,CHORRITO PA LAS ANIMAS,Feid,1,2321,36,345.0317,29,65,34.0,5,3.0,96,G#,Minor,74,61,83,11,0,35,6
2022-12-01,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,536,10,288.1017,10,72,8.0,3,14.0,149,G#,Major,66,85,60,40,0,14,13
2023-05-26,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,359,2,60.3505,1,0,9.0,0,0.0,110,F#,Minor,66,32,40,81,0,11,3
2022-11-30,Players,Coi Leray,1,4096,6,335.0748,118,48,143.0,0,240.0,105,F#,Major,95,62,52,3,0,5,16
2023-05-22,Bite Me,ENHYPEN,1,349,69,76.7674,8,96,5.0,0,56.0,105,C#,Major,80,69,78,28,0,11,14
2023-05-26,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,381,5,46.0657,23,82,6.0,0,113.0,134,B,Major,76,61,58,6,0,16,3
2022-07-08,Normal,Feid,1,2461,36,459.2764,47,66,45.0,5,6.0,170,E,Minor,71,59,56,4,0,27,12
2023-06-02,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,277,1,39.6662,1,20,5.0,0,1.0,81,F#,Major,59,26,60,46,1,25,13
2023-03-01,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,967,5,138.5177,7,29,51.0,1,29.0,154,F#,Major,63,75,92,31,0,91,5
2022-06-29,Bad Habit,Steve Lacy,1,8186,12,822.6339,155,72,131.0,16,29.0,169,C#,Major,69,69,51,63,0,38,4
2022-07-29,CUFF IT,Beyoncï¿,1,7842,10,595.9007,215,88,330.0,26,23.0,115,G,Major,78,64,69,4,0,7,14
2023-06-05,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,215,6,51.9858,6,14,8.0,2,4.0,84,A,Minor,43,14,74,1,0,19,8
2023-05-18,69,"Nicky Jam, Feid",2,1134,22,57.946,39,14,48.0,2,3.0,93,G#,Major,79,58,62,11,0,11,23
2023-04-21,Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,1305,34,115.01,29,26,43.0,5,44.0,91,G,Major,82,47,62,10,0,10,15
2023-04-07,Search & Rescue,Drake,1,2066,6,175.0978,58,70,43.0,0,182.0,142,A#,Minor,82,54,44,6,0,33,7
2023-05-19,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,896,0,57.0891,34,2,33.0,0,1.0,126,C#,Major,78,20,70,1,0,16,4
2022-10-21,Lavender Haze,Taylor Swift,1,3763,8,488.3868,51,43,38.0,10,1.0,97,A#,Major,73,10,44,26,0,16,8
2023-06-02,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,197,0,32.7617,3,10,3.0,0,0.0,101,F,Major,92,59,51,41,51,26,8
2022-05-06,Efecto,Bad Bunny,1,4004,33,1047.4801,34,65,43.0,6,2.0,98,G,Minor,80,23,48,14,0,6,5
2023-01-27,Erro Gostoso - Ao Vivo,Simone Mendes,1,984,5,153.4543,8,57,76.0,2,49.0,154,F#,Major,59,63,89,18,0,80,9
2023-02-14,Cupido,Tini,1,1240,24,217.6729,51,29,63.0,4,54.0,120,A,Major,91,63,58,52,0,31,22
2022-10-17,Just Wanna Rock,Lil Uzi Vert,1,3995,13,457.1848,72,27,47.0,0,0.0,150,B,Major,49,4,55,7,0,6,3
2016-01-21,Unstoppable,Sia,1,7681,13,939.8449,119,66,,2,,174,A,Major,47,27,78,11,0,10,8
2021-09-01,Until I Found You,Stephen Sanchez,1,4427,4,726.4344,69,100,154.0,20,438.0,202,A#,Major,34,25,51,69,0,18,4
2022-11-04,Rich Flex,"Drake, 21 Savage",2,4657,18,573.633,84,84,42.0,0,23.0,153,B,Minor,56,42,52,5,0,36,24
2021-10-14,Easy On Me,Adele,1,10195,20,1406.1113,258,87,657.0,22,9.0,142,F,Major,60,13,37,58,0,13,3
2023-05-11,Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,269,4,71.5733,7,2,30.0,1,11.0,108,A,Minor,84,55,47,26,0,20,64
2023-06-02,Danger (Spider) (Offset & JID),"Offset, JID",2,214,0,24.9757,3,3,6.0,0,0.0,143,B,Major,83,25,69,4,0,23,12
2023-02-14,Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,845,2,145.4584,12,57,47.0,1,33.0,108,D,Major,67,55,67,60,0,80,5
2000-01-01,The Real Slim Shady,Eminem,1,20763,27,1424.5896,81,53,,1,17.0,104,F,Minor,95,78,66,3,0,4,6
2022-12-16,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,1267,20,231.3321,41,22,56.0,4,84.0,93,F#,Minor,84,96,79,43,0,18,11
2021-12-10,The Color Violet,Tory Lanez,1,2585,32,415.9327,3,79,21.0,1,54.0,105,F#,Minor,65,46,53,16,0,9,5
2022-06-10,Glimpse of Us,Joji,1,6330,6,988.5157,109,42,158.0,3,31.0,170,G#,Major,44,27,32,89,0,14,5
2023-05-04,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,675,1,50.8476,9,13,11.0,0,1.0,178,C#,Minor,62,56,66,18,0,12,5
2023-05-05,Curtains,Ed Sheeran,1,715,0,39.8935,37,3,27.0,0,50.0,176,F#,Minor,50,44,76,10,0,32,5
2023-05-01,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,327,13,92.0351,14,110,9.0,0,49.0,104,E,Minor,80,38,88,11,0,11,5
2023-04-21,Haegeum,Agust D,1,244,12,118.8103,6,84,10.0,2,9.0,85,G,Major,70,83,84,31,0,47,30
2023-04-30,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,385,4,77.2332,17,7,41.0,1,29.0,117,F#,Minor,77,69,58,39,0,26,5
2023-02-24,MIENTRAS ME CURO DEL CORA,Karol G,1,1020,35,206.3996,15,26,30.0,6,0.0,80,,Major,52,57,48,86,0,15,39
2023-04-07,Never Felt So Alone,Labrinth,1,1730,3,117.7479,46,5,51.0,0,20.0,98,F,Major,44,36,41,50,0,38,5
2023-02-02,X SI VOLVEMOS,"Karol G, Romeo Santos",2,2127,33,266.6245,45,80,53.0,8,4.0,178,C#,Minor,79,58,78,34,0,11,25
2022-04-08,ceilings,Lizzy McAlpine,1,3242,9,293.187,67,55,48.0,0,6.0,148,A,Major,51,27,33,48,0,22,3
2023-02-24,Cupid,Fifty Fifty,1,526,10,139.682,15,93,30.0,0,320.0,120,D,Major,77,94,66,65,0,38,3
2023-04-10,I AM,IVE,1,366,15,123.1328,16,102,7.0,0,55.0,122,E,Minor,68,38,88,1,0,8,5
1997-01-01,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,472,2,103.7625,0,0,6.0,0,0.0,144,F,Major,74,75,73,42,0,9,4
2023-03-04,Shorty Party,"Cartel De Santa, La Kelly",2,432,12,162.8871,8,14,12.0,2,33.0,96,D,Major,93,47,47,33,0,10,36
2023-04-24,Super,SEVENTEEN,1,271,12,91.2216,16,103,9.0,0,55.0,137,G#,Major,77,35,88,16,0,17,9
2022-04-22,Slut Me Out,NLE Choppa,1,816,4,190.4909,21,4,13.0,0,4.0,121,F#,Minor,94,71,61,12,0,53,42
2023-04-21,Double Fantasy (with Future),"The Weeknd, Future",2,1169,0,96.1803,36,65,28.0,0,0.0,119,A,Minor,60,10,57,1,0,50,3
2019-08-23,All Of The Girls You Loved Before,Taylor Swift,1,1282,6,185.2406,26,6,19.0,0,5.0,96,D,Major,72,40,47,71,0,13,4
2022-04-21,PROVENZA,Karol G,1,6587,34,885.0935,114,104,147.0,11,20.0,111,C#,Major,87,53,52,66,1,11,5
2023-04-14,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,1444,4,104.9929,0,0,0.0,0,0.0,148,A,Major,90,74,68,14,0,10,19
2023-02-03,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,356,10,147.2903,4,64,4.0,2,37.0,182,A,Major,57,80,59,8,0,6,5
2021-09-09,Shivers,Ed Sheeran,1,10147,30,1302.1841,234,71,543.0,18,,141,D,Major,79,82,86,28,0,4,9
2022-12-30,Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,265,6,158.951,8,84,5.0,1,4.0,145,E,Minor,76,80,81,19,0,6,9
2023-04-25,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,351,9,76.9106,16,90,10.0,0,64.0,110,B,Minor,76,26,70,1,0,41,6
2022-08-16,Komang,Raim Laode,1,158,4,137.1239,5,6,1.0,1,18.0,134,G,Major,70,35,41,41,0,10,3
2022-07-28,DESPECHï¿,ROSALï¿½,1,7613,33,782.3694,180,90,422.0,15,55.0,130,G,Major,92,78,62,18,0,6,10
2022-10-21,Made You Look,Meghan Trainor,1,3956,6,502.575,142,23,127.0,3,16.0,145,A#,Major,84,88,53,35,0,8,7
2023-02-05,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,1638,10,207.0333,0,0,21.0,0,0.0,130,B,Minor,69,36,90,1,10,15,4
2022-04-28,No Se Va,Grupo Frontera,1,924,18,404.8873,17,80,22.0,9,38.0,173,,Major,59,69,53,12,0,23,3
2022-11-04,Punto G,Quevedo,1,1985,35,381.161,34,26,37.0,5,1.0,92,B,Minor,75,55,76,25,0,10,15
2014-06-05,Lovers Rock,TV Girl,1,6339,13,466.232,3,1,36.0,1,37.0,105,F,Minor,56,57,87,0,1,10,4
2021-11-25,METAMORPHOSIS,INTERWORLD,1,1561,24,357.5806,18,78,24.0,0,30.0,175,G,Minor,59,15,64,43,90,12,10
2023-04-27,Mami Chula,"Quevedo, Jhayco",2,875,4,61.1057,17,13,27.0,0,43.0,120,G,Minor,80,33,70,22,0,9,4
2022-12-24,En Paris,"El Chachito, Junior H",2,406,5,198.2754,3,31,2.0,1,0.0,139,D#,Minor,70,77,48,37,0,12,5
2023-03-17,Set Me Free Pt.2,Jimin,1,340,13,168.4486,4,71,16.0,1,9.0,132,,Minor,59,56,82,12,0,12,6
2018-03-29,I Was Never There,"The Weeknd, Gesaffelstein",2,4188,15,705.4698,30,70,142.0,0,27.0,114,A#,Major,32,17,74,14,0,17,3
2023-05-04,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,105,0,34.5022,5,9,5.0,0,0.0,145,B,Minor,54,19,48,36,0,37,5
2022-09-16,Shut Down,BLACKPINK,1,1524,17,482.1752,53,120,62.0,0,2.0,110,,Major,82,67,69,0,0,18,4
2022-12-22,Gato de Noche,"Nengo Flow, Bad Bunny",2,2651,30,304.1186,21,55,32.0,3,0.0,94,G#,Major,89,61,66,17,0,36,16
2018-03-29,Call Out My Name,The Weeknd,1,11087,6,1449.7995,151,107,801.0,1,105.0,134,C#,Major,45,17,60,21,0,33,4
2023-03-24,Like Crazy (English Version),Jimin,1,373,19,173.6274,4,72,5.0,0,5.0,120,G,Major,62,32,76,0,0,39,4
2023-02-02,Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,200,4,90.0253,8,77,2.0,1,1.0,123,G,Minor,70,86,68,24,0,11,4
2021-12-03,Sunroof,"Nicky Youre, Dazy",2,3741,17,652.7046,156,35,110.0,19,0.0,131,A#,Major,77,84,71,35,0,15,4
2002-01-01,Lose Yourself - Soundtrack Version,Eminem,1,32502,21,1829.993,247,54,,1,51.0,171,D,Major,70,6,73,1,0,36,26
2002-05-26,Superman,"Eminem, Dina Rae",2,7615,14,655.4668,18,51,,0,0.0,130,E,Minor,80,64,76,2,0,20,6
2023-03-02,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,1208,34,146.4097,10,41,20.0,0,1.0,94,B,Major,82,53,67,34,0,9,8
2023-04-07,People Pt.2 (feat. IU),"IU, Agust D",2,209,4,95.816,4,45,11.0,2,24.0,89,G,Minor,73,44,57,39,0,32,6
2023-03-17,REMIX EXCLUSIVO,Feid,1,1235,9,117.207,20,8,15.0,0,6.0,87,F,Minor,65,71,56,4,0,15,20
2023-03-22,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,654,3,100.4096,11,3,18.0,1,1.0,124,B,Minor,72,79,78,55,0,15,30
2023-03-27,DOGTOOTH,"Tyler, The Creator",2,1479,0,80.7583,23,0,18.0,0,33.0,78,G#,Major,71,80,65,51,0,22,32
2022-11-01,10:35,"Tiï¿½ï¿½sto, Tate M",2,4942,26,325.5924,190,104,147.0,18,63.0,120,G#,Major,70,70,79,7,0,18,10
2023-03-31,SORRY NOT SORRY,"Tyler, The Creator",2,709,0,58.4733,8,1,13.0,0,0.0,96,F#,Minor,48,50,80,40,0,37,20
2023-03-25,HAPPY,NF,1,660,0,52.723,22,7,11.0,0,78.0,106,G,Major,73,22,86,31,0,12,4
2021-12-24,La Bebe,Yng Lvcas,1,489,17,191.9456,4,11,5.0,1,2.0,170,D,Minor,78,75,46,62,0,12,35
2023-03-24,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,407,0,77.3775,16,15,5.0,0,1.0,134,B,Minor,67,11,76,8,47,30,7
2022-05-20,Late Night Talking,Harry Styles,1,7461,8,743.6936,166,42,199.0,16,58.0,115,A#,Major,71,90,73,30,0,11,5
2022-12-09,Leï¿½,Marï¿½ï¿½lia Mendo,1,993,4,267.7896,30,84,88.0,1,28.0,130,F#,Major,74,79,87,45,0,30,3
2020-03-20,Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,9161,5,1221.8135,240,98,468.0,3,10.0,118,,Major,65,63,79,3,0,10,3
2022-04-22,Something in the Orange,Zach Bryan,1,3282,12,449.7018,67,84,46.0,16,117.0,110,G,Major,59,22,38,42,0,12,3
2023-03-29,VOID,Melanie Martinez,1,596,0,67.0704,29,9,12.0,0,52.0,100,A,Major,72,42,66,18,4,19,4
2023-03-14,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,320,6,116.3346,5,48,2.0,1,9.0,142,G,Minor,70,76,79,26,0,11,7
2022-10-21,Midnight Rain,Taylor Swift,1,2612,4,433.3565,19,29,21.0,0,0.0,140,,Major,64,18,37,72,0,12,7
2023-02-10,If We Ever Broke Up,Mae Stephens,1,2040,4,165.5848,81,27,66.0,9,444.0,116,G,Major,90,96,73,62,0,9,4
2022-05-13,You Proof,Morgan Wallen,1,2128,9,367.8143,37,88,9.0,0,14.0,120,A,Major,73,64,85,25,0,61,3
2022-04-01,LA INOCENTE,"Feid, Mora",2,2598,37,477.0335,28,57,43.0,8,85.0,92,F,Minor,76,46,79,31,0,7,6
2022-10-26,Malas Decisiones,Kenia OS,1,542,2,156.2147,23,2,21.0,0,0.0,110,G#,Minor,81,64,79,5,0,31,3
2022-01-21,Murder In My Mind,Kordhell,1,2459,20,448.8437,20,68,50.0,0,22.0,120,A#,Major,71,57,97,1,0,13,11
1995-07-11,Gangsta's Paradise,"Coolio, L.V.",2,10624,17,1357.6088,21,0,386.0,0,,80,G#,Major,63,40,61,9,0,56,6
2022-11-13,CAIRO,"Karol G, Ovy On The Drums",2,2418,26,294.3521,52,66,55.0,1,16.0,115,F,Minor,95,43,69,47,0,9,31
2014-11-28,I Love You So,The Walters,1,7536,7,972.165,44,19,135.0,0,6.0,76,A#,Major,58,46,67,65,0,13,4
2017-02-20,Dark Red,Steve Lacy,1,10431,7,920.0457,71,53,181.0,0,10.0,172,F#,Major,60,77,78,45,0,12,6
2016-09-09,Say You Won't Let Go,James Arthur,1,15722,16,2420.4613,231,37,,0,13.0,99,A#,Major,40,45,56,69,0,9,5
2015-05-27,The Hills,The Weeknd,1,25744,4,1947.3718,122,94,,0,18.0,136,,Minor,36,12,57,9,0,14,8
2019-05-10,Heart To Heart,Mac DeMarco,1,1640,0,244.6588,27,27,29.0,1,1.0,150,G#,Minor,90,64,14,67,35,11,10
2023-04-07,Peaches (from The Super Mario Bros. Movie),Jack Black,1,34,0,68.217,0,0,0.0,0,0.0,92,A#,Minor,71,41,31,79,0,10,5
2022-12-15,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,1845,16,223.5826,20,8,30.0,2,0.0,95,C#,Major,77,72,87,17,0,7,5
2022-07-25,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,3301,30,471.8198,72,64,64.0,6,3.0,102,B,Minor,83,58,83,21,0,10,5
2022-12-09,Low,SZA,1,1911,0,272.3775,23,71,14.0,0,9.0,145,,Minor,70,34,55,43,0,16,6
2003-03-24,Numb,Linkin Park,1,20111,5,1361.425,39,0,,0,0.0,110,A,Major,50,24,86,0,0,64,4
2023-02-24,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,1529,0,149.7782,32,18,39.0,2,0.0,95,,Major,64,30,77,46,0,38,6
2023-03-03,on the street (with J. Cole),"j-hope, J. Cole",2,615,2,116.5998,22,82,8.0,0,9.0,94,B,Minor,68,81,82,53,0,9,13
2022-12-02,One Thing At A Time,Morgan Wallen,1,811,4,148.4694,11,58,5.0,0,21.0,142,G,Major,61,92,91,0,0,26,3
2022-08-05,Miss You,"Robin Schulz, Oliver Tree",2,5730,10,497.2253,108,16,197.0,3,165.0,145,F#,Minor,59,20,74,1,0,15,5
2023-03-03,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,356,4,88.7911,4,20,0.0,0,0.0,121,F#,Minor,64,67,80,0,0,36,3
2023-03-03,Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,604,6,125.9173,22,101,0.0,0,66.0,140,D#,Minor,66,43,76,49,0,12,3
2023-02-23,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,1190,0,105.0623,29,3,18.0,0,19.0,137,C#,Minor,84,44,67,8,0,11,6
2023-01-31,Everything I Love,Morgan Wallen,1,579,0,95.6231,11,54,0.0,0,103.0,104,G#,Major,56,72,85,0,0,15,3
2023-02-17,Heaven,Niall Horan,1,1553,2,144.5848,61,6,48.0,0,150.0,92,F,Major,57,68,76,7,0,33,3
2022-12-15,LET GO,Central Cee,1,2301,20,298.0637,49,23,110.0,0,8.0,146,D,Minor,74,51,45,86,0,21,38
2023-01-23,Sial,Mahalini,1,134,4,166.5701,4,6,0.0,0,23.0,120,D,Major,56,20,43,89,0,12,4
2023-01-31,I Wrote The Book,Morgan Wallen,1,430,0,83.0215,15,17,0.0,0,0.0,144,D,Major,68,83,81,9,0,8,4
2022-11-05,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,86,0,139.8361,11,101,0.0,0,48.0,94,A,Major,59,44,56,80,0,6,3
2022-10-31,SPIT IN MY FACE!,ThxSoMch,1,629,14,303.2163,32,3,9.0,0,0.0,94,G#,Major,73,65,79,5,2,11,6
2022-12-15,PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,1701,15,221.4097,30,15,34.0,2,47.0,113,G,Minor,79,66,74,8,0,11,5
2023-03-03,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,329,0,58.8909,14,35,1.0,0,0.0,148,E,Major,50,49,76,12,0,12,3
2023-03-03,Red Ruby Da Sleeze,Nicki Minaj,1,1168,0,81.4194,45,11,20.0,0,21.0,98,C#,Major,70,29,73,12,0,11,26
2022-05-31,Kahani Suno 2.0,Kaifi Khalil,1,162,6,156.7774,1,10,1.0,0,1.0,140,B,Major,58,26,38,91,0,10,4
2022-12-09,Nobody Gets Me,SZA,1,2536,6,284.9083,59,100,58.0,13,2.0,100,G,Major,36,28,28,81,0,18,3
2023-02-23,PERO Tï¿,"Karol G, Quevedo",2,387,11,93.4389,11,15,14.0,3,1.0,140,F#,Major,86,68,79,39,0,11,29
2022-08-01,Hype Boy,NewJeans,1,892,17,363.4726,20,119,12.0,2,7.0,100,E,Minor,59,78,94,27,0,29,23
2011-01-01,Bloody Mary,Lady Gaga,1,3909,0,372.4764,66,26,277.0,3,734.0,100,A,Minor,59,49,65,2,0,13,3
2022-10-19,Monotonï¿½,"Ozuna, Shakira",2,3645,15,380.7265,118,34,150.0,4,19.0,132,,Minor,87,82,70,42,0,21,5
