release_date,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,mils_of_streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2023-05-19,TQM,Fuerza Regida,1,584,28,176.5535,16,159,15.0,6,100.0,125,F,Minor,79,96,85,27,0,11,6
2023-02-10,El Azul,"Junior H, Peso Pluma",2,692,25,354.4954,10,107,6.0,3,62.0,144,A,Minor,56,84,65,23,0,10,6
2018-10-09,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,24094,78,2808.0966,372,117,843.0,4,69.0,90,D,Major,76,91,50,54,0,7,5
2022-08-26,I'm Good (Blue),"Bebe Rexha, David Guetta",2,12482,80,1109.4332,291,184,537.0,45,727.0,128,G,Minor,56,38,97,4,0,35,4
2017-07-21,See You Again,"Tyler, The Creator, Kali Uchis",3,13387,64,1047.1013,77,58,247.0,1,311.0,79,F#,Major,56,58,56,37,0,11,10
2023-06-23,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65.1562,82,145,65.0,16,,144,,Major,77,75,58,52,0,23,25
2020-11-27,Angels Like You,Miley Cyrus,1,3372,19,570.5151,65,48,138.0,1,102.0,122,F,Major,67,49,64,10,0,10,3
2022-05-13,I Ain't Worried,OneRepublic,1,8431,76,1085.6854,241,127,458.0,37,332.0,140,,Major,71,82,81,11,0,6,5
2016-11-24,Die For You,The Weeknd,1,2483,59,1647.9904,68,21,24.0,0,259.0,134,C#,Minor,59,51,52,9,0,15,7
2016-09-21,Starboy,"The Weeknd, Daft Punk",2,29536,79,2565.5297,281,137,,1,140.0,186,G,Major,68,49,59,16,0,13,28
2023-02-24,Die For You - Remix,"Ariana Grande, The Weeknd",2,3408,47,518.7451,87,86,74.0,1,16.0,67,C#,Minor,53,50,53,23,0,44,7
2023-06-02,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,1298,38,107.7538,44,64,57.0,10,110.0,106,A#,Minor,72,17,64,7,0,10,5
2023-04-06,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,4277,66,177.7407,145,111,213.0,11,810.0,128,G,Major,60,23,91,0,0,12,3
2023-02-24,AMARGURA,Karol G,1,1133,39,153.372,14,71,23.0,10,176.0,107,F#,Minor,92,55,70,18,0,15,7
2023-06-15,(It Goes Like) Nanana - Edit,Peggy Gou,1,2259,59,57.8764,0,0,109.0,17,0.0,130,G,Minor,67,96,88,12,19,8,4
2012-10-15,Another Love,Tom Odell,1,18371,83,1813.6737,250,122,,19,,123,E,Minor,45,13,54,70,0,9,4
2019-11-29,Blinding Lights,The Weeknd,1,43899,69,3703.8951,672,199,,20,,171,C#,Major,50,38,80,0,0,9,7
2023-02-24,Moonlight,Kali Uchis,1,2649,42,256.4834,67,79,57.0,1,615.0,137,G,Minor,64,88,72,51,0,17,5
2022-05-26,La Bachata,Manuel Turizo,1,6804,45,1214.0834,139,111,161.0,15,210.0,125,G,Minor,84,85,68,58,0,22,4
2023-07-14,S91,Karol G,1,525,41,16.0113,34,115,39.0,6,216.0,128,,Minor,86,42,72,59,0,9,19
2020-07-24,cardigan,Taylor Swift,1,7923,29,812.0196,106,112,142.0,4,215.0,130,,Minor,61,53,58,55,0,27,4
2023-05-04,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,731,15,111.9477,27,17,73.0,4,167.0,130,B,Major,86,59,96,50,1,9,5
2023-02-03,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,5184,41,156.3386,154,84,102.0,14,37.0,133,F,Major,70,86,81,25,0,25,5
2022-06-24,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720.4342,38,0,4.0,0,0.0,101,D,Major,88,72,59,62,0,9,3
2023-03-24,BESO,"Rauw Alejandro, ROSALï¿½",2,4053,50,357.9257,82,121,182.0,12,171.0,95,F,Minor,77,53,64,74,0,17,14
2022-10-06,Hey Mor,"Ozuna, Feid",2,4637,38,674.0727,63,79,89.0,11,16.0,98,C#,Minor,90,40,59,0,0,10,29
1999-01-01,Yellow,Chris Molitor,1,31358,43,1755.2144,196,2,,5,0.0,173,B,Major,43,28,66,0,0,23,3
2022-10-21,Karma,Taylor Swift,1,3818,23,404.5628,37,55,32.0,0,272.0,90,G#,Major,64,10,62,7,0,48,7
2022-12-02,People,Libianca,1,3506,56,373.2,105,64,169.0,8,529.0,198,A#,Minor,59,71,42,55,0,10,7
2023-07-14,Overdrive,Post Malone,1,410,36,14.7804,36,32,31.0,1,26.0,140,C#,Major,56,48,73,0,0,35,4
2023-07-07,Enchanted (Taylor's Version),Taylor Swift,1,148,24,39.5782,32,93,8.0,2,5.0,82,G#,Major,51,22,53,1,0,15,3
2023-06-23,BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,35,54.2661,42,80,58.0,3,169.0,130,C#,Minor,77,84,89,17,0,43,5
2020-06-28,Heat Waves,Glass Animals,1,22543,63,2557.9758,386,144,707.0,28,,81,B,Major,76,53,53,44,0,9,9
2022-07-15,golden hour,JVKE,1,4511,36,751.1345,70,58,109.0,18,230.0,94,C#,Minor,51,14,59,65,18,25,3
2012-05-14,Sweater Weather,The Neighbourhood,1,16413,61,2282.7715,166,87,,1,,124,A#,Major,61,41,81,5,2,10,3
2022-07-06,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,45,1356.5651,94,65,164.0,14,176.0,128,D,Major,62,55,78,1,3,23,4
2008-01-01,Viva La Vida,Coldplay,1,33898,62,1592.9098,233,0,,9,0.0,138,F,Minor,49,42,62,9,0,11,3
2022-07-17,Here With Me,d4vd,1,3246,23,635.412,94,85,68.0,1,84.0,132,E,Major,58,27,48,50,0,12,3
2022-09-22,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,8576,42,1230.6759,216,108,331.0,26,154.0,131,D,Major,71,24,47,1,0,27,9
2022-12-20,Yandel 150,"Yandel, Feid",2,3618,38,585.6954,47,74,80.0,14,194.0,168,F#,Minor,78,58,73,5,0,10,7
2023-06-22,CORAZï¿½ï¿½N VA,Maria Becerra,1,370,20,43.8576,12,16,18.0,4,93.0,98,C#,Major,68,40,79,33,0,30,6
1975-01-01,Riptide,Vance Joy,1,31123,55,2009.0947,300,65,,1,0.0,102,C#,Major,48,50,73,43,0,15,4
2022-04-22,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2790,30,600.9768,60,96,71.0,0,115.0,101,A#,Major,34,32,57,78,0,20,3
2023-06-23,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,267,9,39.7091,9,6,25.0,2,72.0,130,F,Major,63,36,34,76,0,35,9
2023-07-07,Back To December (Taylor's Version),Taylor Swift,1,139,17,39.2289,16,72,5.0,0,8.0,142,D,Major,50,20,64,1,0,12,3
2021-07-09,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,36,2665.3439,492,99,798.0,31,0.0,170,C#,Major,59,48,76,4,0,10,5
2023-03-03,El Merengue,"Marshmello, Manuel Turizo",2,2114,44,223.6332,80,75,110.0,11,323.0,124,G#,Minor,78,70,68,3,1,11,4
2018-11-08,Someone You Loved,Lewis Capaldi,1,17836,53,2887.2418,440,125,,0,,110,C#,Major,50,45,41,75,0,11,3
2022-05-06,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,8870,43,1440.7578,104,120,141.0,26,49.0,92,C#,Minor,91,43,71,9,0,9,8
2015-06-22,Makeba,Jain,1,6060,53,165.4841,150,148,,22,,116,D,Major,82,40,66,39,51,25,7
2012-06-20,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,50,58.0548,1,52,8.0,0,,129,A,Major,63,84,82,70,8,9,7
2023-03-24,Fast Car,Luke Combs,1,1446,12,157.0589,57,97,35.0,0,429.0,98,G#,Major,71,67,60,19,0,12,3
2023-03-17,What It Is (Solo Version),Doechii,1,804,25,95.132,29,76,24.0,0,162.0,172,C#,Minor,74,76,76,6,0,10,9
2023-03-17,Coco Chanel,"Bad Bunny, Eladio Carrion",2,1962,38,250.3052,28,89,29.0,5,82.0,150,D,Major,68,14,76,4,0,10,4
2017-11-08,Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,4875,23,685.0325,19,45,0.0,0,10.0,136,A,Minor,62,19,53,11,0,6,4
2020-06-05,Still With You,Jung Kook,1,31,39,38.412,2,107,8.0,0,0.0,88,C#,Minor,53,34,47,9,0,83,4
